Resumo,Data,Descrição
"Último dia para a julza ou o juiz eleitoral designar horário e local para a verificação da integridade e autenticidade dos sistemas Transportador e JE-Connect instalados nos microcomputadores, no segundo turno",10/22/2024,"Último dia para a julza ou o juiz eleitoral designar horário e local para a verificação da integridade e autenticidade dos sistemas Transportador e JE-Connect instalados nos microcomputadores, no segundo turno (Res.-TSE nº 23.673/2021, art. 43, §1°) (https://www.tse.jus.br/legislacao/compliada/res/2021/resolucao-no-23-673-14-de-dezembro-de-2021#art43)."
"Data a partir da qual e até 29 de outubro, nenhuma eleitora ou eleitor poderá ser presa(o) ou detida(o), salvo em flagrante delito, ou em virtude de sentença criminal condenatória por crime inafiançável, ou por desrespeito a salvo-conduto",10/22/2024,"Data a partir da qual e até 29 de outubro, nenhuma eleitora ou eleitor poderá ser presa(o) ou detida(o), salvo em flagrante delito, ou em virtude de sentença criminal condenatória por crime inafiançável, ou por desrespeito a salvo-conduto (Código Eleitoral, art. 236, caput) ."
"Último dia para a realização de comícios e utilização de aparelhagem de sonorização fixa, entre as 8h (oito horas) e as 24h (vinte e quatro horas), com exceção do comício de encerramento da campanha, que poderá ser prorrogado por mais 2 (duas) horas",10/24/2024,"Último dia para a realização de comícios e utilização de aparelhagem de sonorização fixa, entre as 8h (oito horas) e as 24h (vinte e quatro horas), com exceção do comício de encerramento da campanha, que poderá ser prorrogado por mais 2 (duas) horas (Código Eleitoral, art. 240, parágrafo único (http://www.planalto.gov.br/ccivil_03/leis/L4737.htm#art%20#art240); Lei nº 9.504/1997, art. 39, § 4º (http://www.planalto.gov.br/ccivil_03/leis/l9504.htm#art39); e Res.-TSE nº 23.610/2019, arts. 5º (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019#art5) e 15, § 1º) (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019#art15)."
"Data a partir da qual e até 26 de outubro de 2024, o Tribunal Superior Eleitoral poderá divulgar comunicados, boletins e instruções ao eleitorado, em até 10 (dez) minutos diários requisitados às emissoras de rádio e de televisão, contínuos ou não, que poderão ser somados e usados em dias descontinuados, podendo ceder, a seu critério, parte desse tempo para utilização por tribunal regional eleitoral",10/24/2024,"Data a partir da qual e até 26 de outubro de 2024, o Tribunal Superior Eleitoral poderá divulgar comunicados, boletins e instruções ao eleitorado, em até 10 (dez) minutos diários requisitados às emissoras de rádio e de televisão, contínuos ou não, que poderão ser somados e usados em dias descontinuados, podendo ceder, a seu critério, parte desse tempo para utilização por tribunal regional eleitoral (Lei nº 9.504/1997, art. 93 , art. 11§) (https://www.planalto.gov.br/ccivil_03/leis/l9504.htm#art93) e Res.-TSE nº 23.610/2019, art. 115) (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019#art115)."
"Último dia para os tribunais regionais eleitorais divulgarem na internet os pontos de transmissão de dados que funcionarão em locais distintos do local de funcionamento da junta eleitoral, para o segundo turno",10/24/2024,"Último dia para os tribunais regionais eleitorais divulgarem na internet os pontos de transmissão de dados que funcionarão em locais distintos do local de funcionamento da junta eleitoral, para o segundo turno."
Data a partir da qual o juízo eleitoral ou a(o) presidente da Mesa Receptora poderá expedir salvo-conduto em favor de eleitora ou de eleitor que sofrer violência moral ou física na sua liberdade de votar ou pelo fato de haver votado,10/24/2024,"Data a partir da qual o juízo eleitoral ou a(o) presidente da Mesa Receptora poderá expedir salvo-conduto em favor de eleitora ou de eleitor que sofrer violência moral ou física na sua liberdade de votar ou pelo fato de haver votado (Código Eleitoral, art. 235, parágrafo único) ."
"Último dia para a circulação paga ou impulsionada de propaganda eleitoral na internet, mesmo se a contratação tiver sido realizada antes desse prazo, cabendo ao provedor de aplicação que comercializa o impulsionamento realizar o desligamento da veiculação de propaganda eleitoral",10/24/2024,"Último dia para a circulação paga ou impulsionada de propaganda eleitoral na internet, mesmo se a contratação tiver sido realizada antes desse prazo, cabendo ao provedor de aplicação que comercializa o impulsionamento realizar o desligamento da veiculação de propaganda eleitoral (Res.-TSE nº 23.610/2019, art. 29, § 11) (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019#art29)."
Último dia para a divulgação da propaganda eleitoral gratuita no rádio e na televisão relativa ao segundo turno,10/25/2024,"Último dia para a divulgação da propaganda eleitoral gratuita no rádio e na televisão relativa ao segundo turno (Lei nº 9.504/1997, art. 49, caput (http://www.planalto.gov.br/ccivil_03/leis/l9504.htm#art49); e Res.-TSE nº 23.610/2019, art. 60) ;,"
"Último dia para a divulgação paga, na imprensa escrita, e a reprodução na internet do jornal impresso, de até 10 (dez) anúncios de propaganda eleitoral, por veículo, em datas diversas, para cada candidata ou candidato, no espaço máximo, por edição, de 1/8 (um oitavo) de página de jornal padrão e de 1/4 (um quarto) de página de revista ou tabloide, relativa ao segundo turno",10/25/2024,"Último dia para a divulgação paga, na imprensa escrita, e a reprodução na internet do jornal impresso, de até 10 (dez) anúncios de propaganda eleitoral, por veículo, em datas diversas, para cada candidata ou candidato, no espaço máximo, por edição, de 1/8 (um oitavo) de página de jornal padrão e de 1/4 (um quarto) de página de revista ou tabloide, relativa ao segundo turno (Lei nº 9.504/1997, art. 43, caput ; e Res.-TSE nº 23.610/2019, art. 42) ;"
"Último dia para a realização de debate no rádio e na televisão, não podendo ultrapassar o horário de 24 hrs",10/25/2024,"Último dia para a realização de debate no rádio e na televisão, não podendo ultrapassar o horário de 24 hrs (Res.-TSE nº 23.610/2019, art. 46, IV) (https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019#art46)."
"Data-limite para os juízos eleitorais publicarem edital de convocação das(dos) representantes do Ministério Público e da Ordem dos Advogados do Brasil e das(dos) fiscais, delegadas e delegados dos partidos políticos, das federações e das coligações, para acompanharem a emissão da Zerésima do Sistema de Gerenciamento da Totalização relativa ao segundo turno",10/25/2024,"Data-limite para os juízos eleitorais publicarem edital de convocação das(dos) representantes do Ministério Público e da Ordem dos Advogados do Brasil e das(dos) fiscais, delegadas e delegados dos partidos políticos, das federações e das coligações, para acompanharem a emissão da Zerésima do Sistema de Gerenciamento da Totalização relativa ao segundo turno."
"Data-limite para a audiência destinada à verificação da integridade e autenticidade dos sistemas Transportador e JE-Connect, em computador e em dispositivo para uso no segundo turno das eleições, a critério do juízo eleitoral, considerando a logística de deslocamento dos equipamentos",10/25/2024,"Data-limite para a audiência destinada à verificação da integridade e autenticidade dos sistemas Transportador e JE-Connect, em computador e em dispositivo para uso no segundo turno das eleições, a critério do juízo eleitoral, considerando a logística de deslocamento dos equipamentos (Res. TSE nº 23.673/2021, art. 43, caput e § 4º) (https://www.tse.jus.br/legislacao/compliada/res/2021/resolucao-no-23-673-14-de-dezembro-de-2021#art43)."
"Último dia para a(o) presidente do partido político ou da federação, ou a(o) representante da coligação, ou outra pessoa por elas(eles) indicada, comunicarem aos juízos eleitorais os nomes das pessoas autorizadas a expedir as credenciais das(os) fiscais e das(os) delegadas(os) habilitadas(os) a fiscalizar os trabalhos de votação, apuração e totalização no segundo turno das eleições",10/25/2024,"Último dia para a(o) presidente do partido político ou da federação, ou a(o) representante da coligação, ou outra pessoa por elas(eles) indicada, comunicarem aos juízos eleitorais os nomes das pessoas autorizadas a expedir as credenciais das(os) fiscais e das(os) delegadas(os) habilitadas(os) a fiscalizar os trabalhos de votação, apuração e totalização no segundo turno das eleições (Lei nº 9.504/1997, art. 65, § 3º) ."
"Último dia para a(o) presidente do partido político ou da federação, a(o) representante da coligação ou outra pessoa por elas(eles) indicada comunicar aos juízos eleitorais os nomes das pessoas autorizadas a fiscalizar os trabalhos de votação do segundo turno nas seções eleitorais instaladas nos estabelecimentos penais e de internação de adolescentes",10/25/2024,"Último dia para a(o) presidente do partido político ou da federação, a(o) representante da coligação ou outra pessoa por elas(eles) indicada comunicar aos juízos eleitorais os nomes das pessoas autorizadas a fiscalizar os trabalhos de votação do segundo turno nas seções eleitorais instaladas nos estabelecimentos penais e de internação de adolescentes (Lei nº 9.504/1997, art. 65, § 3º) ."
"Data a partir da qual a força armada não poderá aproximar-se do lugar da votação ou nele adentrar sem ordem judicial ou da(o) presidente da Mesa Receptora, exceto nos estabelecimentos penais e nas unidades de internação de adolescentes, respeitado o sigilo do voto, devendo se conservar a 100 m (cem metros) da seção eleitoral",10/25/2024,"Data a partir da qual a força armada não poderá aproximar-se do lugar da votação ou nele adentrar sem ordem judicial ou da(o) presidente da Mesa Receptora, exceto nos estabelecimentos penais e nas unidades de internação de adolescentes, respeitado o sigilo do voto, devendo se conservar a 100 m (cem metros) da seção eleitoral."
"Último dia em que as candidatas, os candidatos, os partidos, as federações e as coligações participantes do segundo turno poderão fazer funcionar, entre as 8h (oito horas) e as 22h (vinte e duas horas), alto-falantes ou amplificadores de som, nos termos do art. 15 da Res.-TSE nº 23.610 de 2019",10/26/2024,"Último dia em que as candidatas, os candidatos, os partidos, as federações e as coligações participantes do segundo turno poderão fazer funcionar, entre as 8h (oito horas) e as 22h (vinte e duas horas), alto-falantes ou amplificadores de som, nos termos do art. 15 da Res.-TSE nº 23.610 de 2019 ; 18-de-dezembro-de-2019#art15)(Lei nº 9.504/1997, art. 39, § 3º ; Res. TSE nº 23.610/2019, art. 15) ; 2019#art15)."
"Último dia, até as 22h (vinte e duas horas), para a distribuição de material gráfico e para a realização de caminhada, carreata ou passeata, acompanhados ou não por carro de som ou minúrio",10/26/2024,"Último dia, até as 22h (vinte e duas horas), para a distribuição de material gráfico e para a realização de caminhada, carreata ou passeata, acompanhados ou não por carro de som ou minúrio (Lei nº 9.504/1997, art. 39, § 9º ; e Res.-TSE nº 23.610/2019, art. 16)"
"Data em que a Comissão de Auditoria da Votação Eletrônica deverá promover, entre as 7h (sete horas) e as 12h (doze horas), no local e horário previamente divulgados, a escolha ou o sorteio das seções eleitorais que serão submetidas às auditorias da votação eletrônica no segundo turno",10/26/2024,"Data em que a Comissão de Auditoria da Votação Eletrônica deverá promover, entre as 7h (sete horas) e as 12h (doze horas), no local e horário previamente divulgados, a escolha ou o sorteio das seções eleitorais que serão submetidas às auditorias da votação eletrônica no segundo turno (Res.- TSE nº 23.673/2021, art. 57) ."
"Último dia para o Tribunal Superior Eleitoral publicar, na sua página da internet, os arquivos contendo as correspondências esperadas entre urna e seção e os logs do Sistema GEDAI-UE das máquinas utilizadas para geração das mídias relativos ao segundo turno, devendo eventuais atualizações serem complementadas até as 16 h (dezesseis horas) do dia da eleição, observado o horário de Brasília",10/26/2024,"Último dia para o Tribunal Superior Eleitoral publicar, na sua página da internet, os arquivos contendo as correspondências esperadas entre urna e seção e os logs do Sistema GEDAI-UE das máquinas utilizadas para geração das mídias relativos ao segundo turno, devendo eventuais atualizações serem complementadas até as 16 h (dezesseis horas) do dia da eleição, observado o horário de Brasília."
"Verificação, no Tribunal Superior Eleitoral, em horário previamente comunicado por ofício às entidades fiscalizadoras, da integridade e autenticidade dos sistemas de Gerenciamento da Totalização (SISTOT), Receptor de Arquivos de Umas (RecBU), InfoArquivos e Transportador WEB",10/26/2024,"Verificação, no Tribunal Superior Eleitoral, em horário previamente comunicado por ofício às entidades fiscalizadoras, da integridade e autenticidade dos sistemas de Gerenciamento da Totalização (SISTOT), Receptor de Arquivos de Umas (RecBU), InfoArquivos e Transportador WEB (Res.-TSE nº 23.673/2021, art. 41, § 2º) ."
"Data na qual, a partir das 12h (doze horas), as funcionalidades relativas ao gerenciamento da totalização dos resultados para o segundo turno estarão disponíveis no SISTOT, em todas as instâncias, pelos procedimentos definidos na “Seção I - Dos Sistemas de Transmissão e Totalização” da Resolução de Atos Gerais do Processo Eleitoral de 2024",10/26/2024,"Data na qual, a partir das 12h (doze horas), as funcionalidades relativas ao gerenciamento da totalização dos resultados para o segundo turno estarão disponíveis no SISTOT, em todas as instâncias, pelos procedimentos definidos na “Seção I - Dos Sistemas de Transmissão e Totalização” da Resolução de Atos Gerais do Processo Eleitoral de 2024."
"Último dia para que a entidade fiscalizadora interessada em utilizar programa próprio para verificação da assinatura e do resumo digital na urna na seção eleitoral designada para auditoria no segundo turno, providencie cópia do programa em mídia apropriada, de acordo com orientações técnicas publicadas no sítio do Tribunal Superior Eleitoral",10/26/2024,"Último dia para que a entidade fiscalizadora interessada em utilizar programa próprio para verificação da assinatura e do resumo digital na urna na seção eleitoral designada para auditoria no segundo turno, providencie cópia do programa em mídia apropriada, de acordo com orientações técnicas publicadas no sítio do Tribunal Superior Eleitoral (Res.-TSE nº 23.673/2021, art. 78, §1°) ."
"Data até a qual o Tribunal Superior Eleitoral poderá divulgar comunicados, boletins e instruções ao eleitorado, em até 10 (dez) minutos diários requisitados às emissoras de rádio e de televisão, contínuos ou não, que poderão ser somados e usados em dias descontinuados, podendo ceder, a seu critério, parte desse tempo para utilização por tribunal regional eleitoral",10/26/2024,"Data até a qual o Tribunal Superior Eleitoral poderá divulgar comunicados, boletins e instruções ao eleitorado, em até 10 (dez) minutos diários requisitados às emissoras de rádio e de televisão, contínuos ou não, que poderão ser somados e usados em dias descontinuados, podendo ceder, a seu critério, parte desse tempo para utilização por tribunal regional eleitoral (Lei nº 9.504/1997, art. 93 , art. 115)"
"Data a partir da qual colecionadoras(es), atiradoras(es) e caçadoras(es) ficam proibidos, em todo o território nacional, de transportar armas e munições",10/26/2024,"Data a partir da qual colecionadoras(es), atiradoras(es) e caçadoras(es) ficam proibidos, em todo o território nacional, de transportar armas e munições."
"Data em que se realizará a votação do segundo turno das eleições, para os cargos de prefeito, vice-prefeito, onde houver, por sufrágio universal e voto direto e secreto, observando-se, na seção eleitoral",10/27/2024,"Data em que se realizará a votação do segundo turno das eleições, para os cargos de prefeito, vice-prefeito, onde houver, por sufrágio universal e voto direto e secreto, observando-se, na seção eleitoral (Constituição Federal, arts. 14, caput (http://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm#art14) e 29, I e II (http://www.planalto.gov.br/ccivil_03/constituicao/constituicao.htm#art29); Código Eleitoral, art. 82 ; Lei nº 9.504/1997, art. 1º, parágrafo único, II (http://www.planalto.gov.br/ccivil_03/leis/L4737.htm#art82); (http://www.planalto.gov.br/ccivil_03/leis/l9504.htm#art1), e art. 3º)"
A partir das 7 horas (horário de Brasília),10/27/2024,"A partir das 7 horas (horário de Brasília)"
Instalação da seção eleitoral,10/27/2024,"Instalação da seção eleitoral (Código Eleitoral, art. 142) ."
Emissão dos Relatórios Zerésima e Resumo da Zerésima da urna eletrônica instalada na seção eleitoral,10/27/2024,"Emissão dos Relatórios Zerésima e Resumo da Zerésima da urna eletrônica instalada na seção eleitoral."
Às 8 horas (horário de Brasília),10/27/2024,"Às 8 horas (horário de Brasília)"
Início da votação,10/27/2024,"Início da votação (Código Eleitoral, arts. 143 ) e 144 (http://www.planalto.gov.br/ccivil_03/leis/L4737.htm#art144)."
Às 17 horas (horário de Brasília),10/27/2024,"Às 17 horas (horário de Brasília)"
Encerramento da votação,10/27/2024,"Encerramento da votação (Código Eleitoral, arts. 144 ) e 153 (http://www.planalto.gov.br/ccivil_03/leis/L4737.htm#art153)."
A partir das 17 horas (horário de Brasília),10/27/2024,"A partir das 17 horas (horário de Brasília)"
Emissão dos boletins de urna,10/27/2024,"Emissão dos boletins de urna."
"Data na qual funcionarão as Mesas Receptoras de Justificativa, das 8h (oito horas) às 17h (dezessete horas), horário de Brasília",10/27/2024,"Data na qual funcionarão as Mesas Receptoras de Justificativa, das 8h (oito horas) às 17h (dezessete horas), horário de Brasília."
"Último dia para o partido político ou federação requerer o cancelamento do registro de candidata ou candidato que concorra ao segundo turno, expulsa(o) de seu partido, em processo no qual seja assegurada ampla defesa, com observância das normas estatutárias",10/27/2024,"Último dia para o partido político ou federação requerer o cancelamento do registro de candidata ou candidato que concorra ao segundo turno, expulsa(o) de seu partido, em processo no qual seja assegurada ampla defesa, com observância das normas estatutárias (Lei nº 9.504/1997, art. 14 ), art. 71 ."
"Último dia para candidatas, candidatos e partidos que disputarem o segundo turno arrecadarem recursos e contraírem obrigações, ressalvada a hipótese de arrecadação com o fim exclusivo de quitação de despesas já contraídas e não pagas até esta data",10/27/2024,"Último dia para candidatas, candidatos e partidos que disputarem o segundo turno arrecadarem recursos e contraírem obrigações, ressalvada a hipótese de arrecadação com o fim exclusivo de quitação de despesas já contraídas e não pagas até esta data (Lei nº 9.504/1997, art. 29, § 3º ), art. 33 ."
"Data na qual será realizada, por amostragem e em ambiente controlado, o Teste de Integridade das Umas Eletrônicas, em cada unidade da Federação, em local público e com expressiva circulação de pessoas, designado pelo TRE, no mesmo dia e horário da votação oficial",10/27/2024,"Data na qual será realizada, por amostragem e em ambiente controlado, o Teste de Integridade das Umas Eletrônicas, em cada unidade da Federação, em local público e com expressiva circulação de pessoas, designado pelo TRE, no mesmo dia e horário da votação oficial (Lei nº 9.504/1997, art. 66, § 6º ), art. 23 ."
"Data na qual, a partir das 7h (sete horas), horário de Brasília, e antes da emissão da Zerésima nas seções eleitorais escolhidas ou sorteadas pela Comissão de Auditoria da Votação Eletrônica para o segundo turno, será realizada a verificação de autenticidade e integridade dos sistemas instalados nas respectivas urnas",10/27/2024,"Data na qual, a partir das 7h (sete horas), horário de Brasília, e antes da emissão da Zerésima nas seções eleitorais escolhidas ou sorteadas pela Comissão de Auditoria da Votação Eletrônica para o segundo turno, será realizada a verificação de autenticidade e integridade dos sistemas instalados nas respectivas urnas (Res.-TSE nº 23.673/2021, art. 53, II) ."
"Data na qual, até as 16 h (dezesseis horas), horário de Brasília, os arquivos contendo as correspondências esperadas entre urna e seção e os logs do Sistema GEDAI-UE das máquinas utilizadas para geração das mídias relativos ao segundo turno devem estar atualizados na página da internet do Tribunal Superior Eleitoral",10/27/2024,"Data na qual, até as 16 h (dezesseis horas), horário de Brasília, os arquivos contendo as correspondências esperadas entre urna e seção e os logs do Sistema GEDAI-UE das máquinas utilizadas para geração das mídias relativos ao segundo turno devem estar atualizados na página da internet do Tribunal Superior Eleitoral."
"Data na qual o Tribunal Superior Eleitoral disponibilizará na sua página da internet os boletins de urna enviados para totalização e as tabelas de correspondências efetivadas durante todo o período em que os receber",10/27/2024,"Data na qual o Tribunal Superior Eleitoral disponibilizará na sua página da internet os boletins de urna enviados para totalização e as tabelas de correspondências efetivadas durante todo o período em que os receber."
"Data a partir da qual e até 8 de novembro de 2024, os dados dos resultados relativos ao segundo turno estarão disponíveis em centro de dados provido pelo Tribunal Superior Eleitoral",10/27/2024,"Data a partir da qual e até 8 de novembro de 2024, os dados dos resultados relativos ao segundo turno estarão disponíveis em centro de dados provido pelo Tribunal Superior Eleitoral."
"Data na qual, a partir das 17h (dezessete horas), horário de Brasília, serão divulgados os resultados das votações em segundo turno, onde houver, incluindo os votos em branco, os nulos e as abstenções",10/27/2024,"Data na qual, a partir das 17h (dezessete horas), horário de Brasília, serão divulgados os resultados das votações em segundo turno, onde houver, incluindo os votos em branco, os nulos e as abstenções."
Data a partir da qual as entidades fiscalizadoras poderão solicitar à Justiça Eleitoral,10/28/2024,"Data a partir da qual as entidades fiscalizadoras poderão solicitar à Justiça Eleitoral (Res.-TSE nº 23.673/2021, art. 46, I a VIII) ."
Data até a qual colecionadoras(es), atiradoras(es) e caçadoras(es) ficam proibidos, em todo o território nacional, de transportar armas e munições,10/28/2024,"Data até a qual colecionadoras(es), atiradoras(es) e caçadoras(es) ficam proibidos, em todo o território nacional, de transportar armas e munições."
Data até a qual a força armada não poderá aproximar-se do lugar da votação ou nele adentrar sem ordem judicial ou da(o) presidente da Mesa Receptora, exceto nos estabelecimentos penais e nas unidades de internação de adolescentes, respeitado o sigilo do voto, devendo se conservar a 100 m (cem metros) da seção eleitoral,10/28/2024,"Data até a qual a força armada não poderá aproximar-se do lugar da votação ou nele adentrar sem ordem judicial ou da(o) presidente da Mesa Receptora, exceto nos estabelecimentos penais e nas unidades de internação de adolescentes, respeitado o sigilo do voto, devendo se conservar a 100 m (cem metros) da seção eleitoral."
Data a partir da qual e até 4 de novembro estará suspenso o fornecimento da certidão de quitação eleitoral pela internet, pelo Sistema Elo e pelo e-Título,10/28/2024,"Data a partir da qual e até 4 de novembro estará suspenso o fornecimento da certidão de quitação eleitoral pela internet, pelo Sistema Elo e pelo e-Título."
Data a partir da qual, salvo determinação da Justiça Eleitoral para que haja divulgação antecipada, devem ser publicizados os relatórios finais dos resultados das pesquisas eleitorais,10/28/2024,"Data a partir da qual, salvo determinação da Justiça Eleitoral para que haja divulgação antecipada, devem ser publicizados os relatórios finais dos resultados das pesquisas eleitorais (Res.-TSE nº 23.600/2019, art. 2°, § 7º-B) ."
Último dia da validade de salvo-conduto expedido por juíza ou juiz eleitoral ou a(o) presidente da Mesa Receptora em favor de eleitora ou de eleitor que sofrer violência moral ou física na sua liberdade de votar ou pelo fato de haver votado,10/29/2024,"Último dia da validade de salvo-conduto expedido por juíza ou juiz eleitoral ou a(o) presidente da Mesa Receptora em favor de eleitora ou de eleitor que sofrer violência moral ou física na sua liberdade de votar ou pelo fato de haver votado (Código Eleitoral, art. 235, parágrafo único) ."
Término do período em que nenhuma eleitora ou eleitor poderá ser presa(o) ou detida(o),10/29/2024,"Término do período em que nenhuma eleitora ou eleitor poderá ser presa(o) ou detida(o) (Código Eleitoral, art. 236, caput) ."
Último dia para a mesária ou o mesário que abandonou os trabalhos durante a votação no segundo turno apresentar justificativa ao juízo eleitoral,10/30/2024,"Último dia para a mesária ou o mesário que abandonou os trabalhos durante a votação no segundo turno apresentar justificativa ao juízo eleitoral (Código Eleitoral, art. 124, § 4º) ."
Último dia para a instituição conveniada ou a empresa de auditoria encaminhar ao Tribunal Superior Eleitoral relatório conclusivo da fiscalização realizada na auditoria de funcionamento das urnas eletrônicas, relativa ao segundo turno,11/01/2024,"Último dia para a instituição conveniada ou a empresa de auditoria encaminhar ao Tribunal Superior Eleitoral relatório conclusivo da fiscalização realizada na auditoria de funcionamento das urnas eletrônicas, relativa ao segundo turno (Res.-TSE nº 23.673/2021, art. 66)  ."
Último dia em que os processos eleitorais terão prioridade para a participação do Ministério Público e dos juízos de todas as Justiças e instâncias, ressalvados os processos de habeas corpus e mandado de segurança,11/01/2024,"Último dia em que os processos eleitorais terão prioridade para a participação do Ministério Público e dos juízos de todas as Justiças e instâncias, ressalvados os processos de habeas corpus e mandado de segurança (Lei nº 9.504/1997, art. 94, caput , art. 61) ."
"Último dia em que as polícias judiciárias, os órgãos das Receitas Federal, Estadual e Municipal, os tribunais e os órgãos de contas auxiliarão a Justiça Eleitoral na apuração dos delitos eleitorais, com prioridade sobre suas atribuições regulares",11/01/2024,"Último dia em que as polícias judiciárias, os órgãos das Receitas Federal, Estadual e Municipal, os tribunais e os órgãos de contas auxiliarão a Justiça Eleitoral na apuração dos delitos eleitorais, com prioridade sobre suas atribuições regulares (Lei nº 9.504/1997, art. 94, § 3º , e Res.-TSE nº 23.608/2019, art. 61, § 3º) , art. 61, § 3º) ."
"Último dia para as candidatas, os candidatos e os partidos políticos encaminharem à Justiça Eleitoral, via SPCE, as prestações de contas referentes ao primeiro turno",11/05/2024,"Último dia para as candidatas, os candidatos e os partidos políticos encaminharem à Justiça Eleitoral, via SPCE, as prestações de contas referentes ao primeiro turno (Lei nº 9.504/1997, art. 29, III , e Res.-TSE nº 23.607/2019, art. 49)  ;"
"Último dia para as candidatas e os candidatos, salvo as(os) que disputaram o segundo turno, transferirem as sobras da campanha ao órgão partidário, na circunscrição do pleito, conforme a origem dos recursos e a sua filiação partidária, inclusive os créditos contratados de impulsionamento não utilizados",11/05/2024,"Último dia para as candidatas e os candidatos, salvo as(os) que disputaram o segundo turno, transferirem as sobras da campanha ao órgão partidário, na circunscrição do pleito, conforme a origem dos recursos e a sua filiação partidária, inclusive os créditos contratados de impulsionamento não utilizados (Lei nº 9.504/1997, art. 31, I ; ; ; ), art. 32, II ."
"Último dia para as candidatas e os candidatos, salvo as(os) que disputaram o segundo turno, observada a data da efetiva apresentação das contas, transferirem ao Tesouro Nacional os valores do Fundo Especial de Financiamento de Campanha (FEFC) eventualmente não utilizados, inclusive os decorrentes da alienação de bens permanentes obtidos com recursos do FEFC e os créditos contratados de impulsionamento não utilizados",11/05/2024,"Último dia para as candidatas e os candidatos, salvo as(os) que disputaram o segundo turno, observada a data da efetiva apresentação das contas, transferirem ao Tesouro Nacional os valores do Fundo Especial de Financiamento de Campanha (FEFC) eventualmente não utilizados, inclusive os decorrentes da alienação de bens permanentes obtidos com recursos do FEFC e os créditos contratados de impulsionamento não utilizados (Lei nº 9.504/1997, art. 16-C, § 11 ; Res.-TSE nº 23.607/2019, art. 35, § 2º, I ;https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art35), art. 50, § 5º ;https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art50); e Res.- TSE nº 23.605/2019, art. 11) ;https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-605-de-17-de-dezembro-de-2019#art11)."
"Último dia para as candidatas, os candidatos e os partidos políticos que disputarem o segundo turno da eleição informarem à Justiça Eleitoral, via Sistema de Prestação de Contas Eleitorais (SPCE), as doações e os gastos que tenham realizado em favor das candidatas e dos candidatos eletras(os) no primeiro turno",11/05/2024,"Último dia para as candidatas, os candidatos e os partidos políticos que disputarem o segundo turno da eleição informarem à Justiça Eleitoral, via Sistema de Prestação de Contas Eleitorais (SPCE), as doações e os gastos que tenham realizado em favor das candidatas e dos candidatos eletras(os) no primeiro turno (Res.-TSE nº 23.607/2019, art. 49, § 2º) ;https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art49)."
"Último dia para as candidatas, os candidatos, os partidos políticos, as federações e as coligações removerem as propagandas relativas ao primeiro turno das eleições e promoverem a restauração do bem em que afixada, se for o caso",11/05/2024,"Último dia para as candidatas, os candidatos, os partidos políticos, as federações e as coligações removerem as propagandas relativas ao primeiro turno das eleições e promoverem a restauração do bem em que afixada, se for o caso (Res.-TSE nº 23.610/2019, art. 121) ;https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-610-de-18-de-dezembro-de-2019#art121)."
"Último dia para a mesária ou o mesário que não compareceu aos trabalhos no primeiro turno apresentar justificativa ao juízo eleitoral",11/05/2024,"Último dia para a mesária ou o mesário que não compareceu aos trabalhos no primeiro turno apresentar justificativa ao juízo eleitoral (Código Eleitoral, art. 124) ."
Reinício da emissão da certidão de quitação eleitoral pela internet, pelo Sistema Elo e pelo E-Título,11/05/2024,"Reinício da emissão da certidão de quitação eleitoral pela internet, pelo Sistema Elo e pelo E-Título."
Reinício do atendimento às eleitoras e aos eleitores nas unidades da Justiça Eleitoral,11/05/2024,"Reinício do atendimento às eleitoras e aos eleitores nas unidades da Justiça Eleitoral."
Reativação do serviço de pré-atendimento, via internet, para requerimento de alistamento, transferência e revisão,11/05/2024,"Reativação do serviço de pré-atendimento, via internet, para requerimento de alistamento, transferência e revisão."
Último dia para a Justiça Eleitoral identificar as candidatas, os candidatos e os partidos políticos que se omitiram a prestar as contas referentes ao primeiro turno,11/08/2024,"Último dia para a Justiça Eleitoral identificar as candidatas, os candidatos e os partidos políticos que se omitiram a prestar as contas referentes ao primeiro turno (Res.-TSE nº 23.607/2019, art. 49, § 5º) ;https://www.tse.jus.br/legislacao/compliada/res/2019/resolucao-no-23-607-de-17-de-dezembro-de-2019#art49)."
Data até a qual os dados de resultados relativos ao segundo turno estarão disponíveis em centro de dados provido pelo Tribunal Superior Eleitoral,11/08/2024,"Data até a qual os dados de resultados relativos ao segundo turno estarão disponíveis em centro de dados provido pelo Tribunal Superior Eleitoral."
